time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Bullish Directional Shift,Bearish Directional Shift,Fast EMA,Slow EMA,Trend EMA,Long Signal,Short Signal,Bars In Trade
2026-09-18T08:50:00-04:00,4368.94,4370.23,4366.52,4368.61,4368.94,4370.23,4366.52,4368.61,0,0,4368.5051039987475,4370.4546029467665,4376.287074185619,0,0,
2026-09-18T08:55:00-04:00,4368.68,4369.46,4366.47,4368.95,4368.68,4369.46,4366.47,4368.95,0,0,4368.653402665832,4370.239659668657,4376.1417855878835,0,0,
2026-09-18T09:00:00-04:00,4368.95,4373.58,4363.92,4371.13,4368.95,4373.58,4363.92,4371.13,0,0,4369.478935110555,4370.366851144563,4376.0425423089155,0,0,
2026-09-18T09:05:00-04:00,4371.24,4375.62,4370.7,4372.65,4371.24,4375.62,4370.7,4372.65,1,0,4370.535956740369,4370.693015266768,4375.975363253293,0,0,
2026-09-18T09:10:00-04:00,4372.65,4373.19,4370.37,4371.55,4372.65,4373.19,4370.37,4371.55,0,0,4370.873971160247,4370.81544165723,4375.887732297782,0,0,
2026-09-18T09:15:00-04:00,4371.68,4374.61,4371.67,4372.16,4371.68,4374.61,4371.67,4372.16,0,0,4371.302647440164,4371.007521420483,4375.813915816638,0,0,
2026-09-18T09:20:00-04:00,4372.16,4372.49,4364.6,4365.36,4372.16,4372.49,4364.6,4365.36,0,1,4369.321764960109,4370.200732646128,4375.606907582645,0,1,
2026-09-18T09:25:00-04:00,4365.37,4367.56,4363.08,4367.25,4365.37,4367.56,4363.08,4367.25,0,0,4368.631176640073,4369.779199410967,4375.441424264177,0,0,
2026-09-18T09:30:00-04:00,4367.28,4367.62,4358.52,4358.57,4367.28,4367.62,4358.52,4358.57,0,0,4365.277451093382,4368.1778852094,4375.107336654985,0,0,
2026-09-18T09:35:00-04:00,4358.57,4360.34,4353.48,4359.17,4358.57,4360.34,4353.48,4359.17,0,0,4363.241634062255,4366.8910444652,4374.7917458301345,0,0,
2026-09-18T09:40:00-04:00,4359.16,4359.16,4352.17,4353.46,4359.16,4359.16,4352.17,4353.46,0,0,4359.981089374836,4364.9723238273145,4374.369335021617,0,0,
2026-09-18T09:45:00-04:00,4353.44,4358.1,4352.19,4354.46,4353.44,4358.1,4352.19,4354.46,0,0,4358.140726249891,4363.470563280555,4373.975090763764,0,0,
2026-09-18T09:50:00-04:00,4354.49,4357.16,4347.87,4349.76,4354.49,4357.16,4347.87,4349.76,0,0,4355.3471508332605,4361.511911383333,4373.495584015966,0,0,
2026-09-18T09:55:00-04:00,4349.76,4352.45,4347.43,4349.39,4349.76,4352.45,4347.43,4349.39,0,0,4353.36143388884,4359.780209757143,4373.01824571862,0,0,
2026-09-18T10:00:00-04:00,4349.35,4356.48,4347.77,4356.22,4349.35,4356.48,4347.77,4356.22,0,0,4354.314289259227,4359.271608363266,4372.685607189538,0,0,
2026-09-18T10:05:00-04:00,4356.34,4356.63,4350.29,4352.31,4356.34,4356.63,4350.29,4352.31,0,0,4353.646192839485,4358.2770928827995,4372.2821298194485,0,0,
2026-09-18T10:10:00-04:00,4352.31,4356.12,4351.46,4351.55,4352.31,4356.12,4351.46,4351.55,0,0,4352.94746189299,4357.316079613828,4371.871592595301,0,0,
2026-09-18T10:15:00-04:00,4351.57,4355.17,4347.54,4348.18,4351.57,4355.17,4347.54,4348.18,0,0,4351.35830792866,4356.010925383282,4371.40245214787,0,0,
2026-09-18T10:20:00-04:00,4348.18,4353.1,4343.48,4352.38,4348.18,4353.1,4343.48,4352.38,0,0,4351.69887195244,4355.492221757098,4371.02576992712,0,0,
